State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
1,-0.2682825702939787,-0.25,2,6,172551,175606,123809,230034,266123,66827,186191,195555,126683,202506,137984,191746,180019,185798,216415,129056
2,-0.2692904991669965,-0.25,2,6,172551,175606,131222,225430,266123,66827,186191,195555,126683,202506,137984,191746,180019,185798,209002,133660
3,-0.2692904991669965,-0.25,2,6,172551,175606,131222,225430,266123,66827,186191,195555,126683,202506,140854,194564,177149,182980,209002,133660
4,-0.2692904991669965,-0.25,2,6,172551,175606,131222,225430,266123,66827,186191,195555,126683,202506,142556,196619,175447,180925,209002,133660
5,-0.26883336090276555,-0.25,2,6,172551,175606,130586,224792,266759,67465,186191,195555,126683,202506,142556,196619,175447,180925,209002,133660
6,-0.1453572298712944,-0.125,3,5,177289,166827,130586,224792,266759,67465,186191,195555,121945,211285,142556,196619,175447,180925,209002,133660
7,-0.14558902839460147,-0.125,3,5,176989,166481,130586,224792,266759,67465,186191,195555,122245,211631,142556,196619,175447,180925,209002,133660
8,-0.14643225831684847,-0.125,3,5,176989,166481,129925,227803,266759,67465,186191,195555,122245,211631,142556,196619,175447,180925,209663,130649
9,-0.148921401283073,-0.125,3,5,124332,216481,129925,227803,266759,67465,186191,195555,174902,161631,142556,196619,175447,180925,209663,130649
10,-0.1466400158168404,-0.125,3,5,177472,165419,129925,227803,266759,67465,186191,195555,121762,212693,142556,196619,175447,180925,209663,130649
11,-0.009661441392111602,0.0,4,4,177472,165419,129925,227803,225762,163843,227188,99177,121762,212693,142556,196619,175447,180925,209663,130649
12,-0.009661441392111602,0.0,4,4,177472,165419,129925,227803,225762,163843,227188,99177,121762,212693,144692,189564,173311,187980,209663,130649
13,-0.01026892575737297,0.0,4,4,124281,211867,129925,227803,225762,163843,227188,99177,174953,166245,144692,189564,173311,187980,209663,130649
14,-0.01026892575737297,0.0,4,4,123307,211415,129925,227803,225762,163843,227188,99177,174953,166245,145666,190016,173311,187980,209663,130649
15,-0.012380229954182115,0.0,4,4,175606,159708,129925,227803,225762,163843,227188,99177,122654,217952,145666,190016,173311,187980,209663,130649
16,-0.012380229954182115,0.0,4,4,175606,159708,129925,227803,225762,163843,227188,99177,142345,193661,125975,214307,173311,187980,209663,130649
17,-0.012380229954182115,0.0,4,4,175606,159708,129925,227803,222104,144995,230846,118025,142345,193661,125975,214307,173311,187980,209663,130649
18,-0.012380229954182115,0.0,4,4,175606,159708,129925,227803,222104,144995,230846,118025,118120,214844,150200,193124,173311,187980,209663,130649
19,-0.01050215956565406,0.0,4,4,173250,167298,129925,227803,222104,144995,230846,118025,120476,207254,150200,193124,173311,187980,209663,130649
20,-0.01099446231174892,0.0,4,4,119838,209264,129925,227803,222104,144995,230846,118025,173888,165288,150200,193124,173311,187980,209663,130649
21,-0.01099446231174892,0.0,4,4,122016,206451,129925,227803,222104,144995,230846,118025,173888,165288,148022,195937,173311,187980,209663,130649
22,-0.013223101055185631,0.0,4,4,122016,206451,126483,237456,222104,144995,230846,118025,173888,165288,148022,195937,173311,187980,213105,120996
23,-0.013223101055185631,0.0,4,4,122016,206451,126483,237456,222104,144995,230846,118025,173888,165288,157838,195767,163495,188150,213105,120996
24,-0.010867080770303093,0.0,4,4,122016,206451,126483,237456,222104,144995,230846,118025,173888,165288,157838,195767,217881,122786,158719,186360
25,-0.011202219811740846,0.0,4,4,122016,206451,126483,237456,159213,186800,230846,118025,173888,165288,157838,195767,217881,122786,221610,144555
26,-0.011202219811740846,0.0,4,4,122016,206451,126483,237456,159213,186800,227628,89039,173888,165288,157838,195767,217881,122786,224828,173541
27,-0.009476289630460766,0.0,4,4,122016,206451,215375,130102,159213,186800,227628,89039,173888,165288,157838,195767,128989,230140,224828,173541
28,-0.010905474643358596,0.0,4,4,119089,213361,215375,130102,159213,186800,227628,89039,176815,158378,157838,195767,128989,230140,224828,173541
29,-0.010905474643358596,0.0,4,4,117228,223092,215375,130102,159213,186800,227628,89039,176815,158378,157838,195767,130850,220409,224828,173541
30,-0.010905474643358596,0.0,4,4,117228,223092,215375,130102,179355,190066,227628,89039,176815,158378,137696,192501,130850,220409,224828,173541
31,-0.010905474643358596,0.0,4,4,117228,223092,215375,130102,179355,190066,253559,115416,176815,158378,137696,192501,130850,220409,198897,147164
32,-0.010905474643358596,0.0,4,4,119536,218286,215375,130102,179355,190066,253559,115416,176815,158378,137696,192501,128542,225215,198897,147164
33,-0.011923809332438194,0.0,4,4,119536,218286,215375,130102,179355,190066,252919,113218,176815,158378,137696,192501,129182,227413,198897,147164
34,-0.011923809332438194,0.0,4,4,130637,227182,215375,130102,179355,190066,252919,113218,176815,158378,137696,192501,118081,218517,198897,147164
35,-0.011923809332438194,0.0,4,4,130637,227182,215375,130102,179355,190066,252919,113218,176815,158378,137185,192665,118592,218353,198897,147164
36,-0.011923809332438194,0.0,4,4,130637,227182,215375,130102,179355,190066,252919,113218,176815,158378,116645,216057,139132,194961,198897,147164
37,-0.011923809332438194,0.0,4,4,130637,227182,216819,132014,179355,190066,252919,113218,176815,158378,116645,216057,139132,194961,197453,145252
38,-0.1348936435893176,-0.125,3,5,159492,186564,216819,132014,179355,190066,252919,113218,176815,158378,116645,216057,139132,194961,168598,185870
39,-0.14429834838169825,-0.125,3,5,159492,186564,216819,132014,179355,190066,169053,211625,176815,158378,116645,216057,139132,194961,252464,87463
