State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
1,-0.2682825702939787,-0.25,2,6,172551,175606,123809,230034,266123,66827,186191,195555,126683,202506,137984,191746,180019,185798,216415,129056
2,-0.26711101893392053,-0.25,2,6,172551,175606,129159,221419,266123,66827,186191,195555,126683,202506,137984,191746,180019,185798,211065,137671
3,-0.13013244450919176,-0.125,3,5,172551,175606,129159,221419,197516,133472,254798,128910,126683,202506,137984,191746,180019,185798,211065,137671
4,-0.13072485838222572,-0.125,3,5,172551,175606,127703,224526,198972,130365,254798,128910,126683,202506,137984,191746,180019,185798,211065,137671
5,-0.13072485838222572,-0.125,3,5,172551,175606,127703,224526,203399,146827,254798,128910,126683,202506,137984,191746,180019,185798,206638,121209
6,-0.13072485838222572,-0.125,3,5,172337,176442,127917,223690,203399,146827,254798,128910,126683,202506,137984,191746,180019,185798,206638,121209
7,-0.13072485838222572,-0.125,3,5,172337,176442,127917,223690,203399,146827,254798,128910,126683,202506,143797,195536,174206,182008,206638,121209
8,-0.13072485838222572,-0.125,3,5,171162,180716,129092,219416,203399,146827,254798,128910,126683,202506,143797,195536,174206,182008,206638,121209
9,-0.0029077079467781978,0.0,4,4,171162,180716,129092,219416,192895,163412,254798,128910,126683,202506,143797,195536,184710,165423,206638,121209
10,-0.0029077079467781978,0.0,4,4,171162,180716,129092,219416,192895,163412,254798,128910,143031,190974,127449,207068,184710,165423,206638,121209
11,-0.0029077079467781978,0.0,4,4,171162,180716,129092,219416,192895,163412,254798,128910,143031,190974,127449,207068,208825,127919,182523,158713
12,-0.0029077079467781978,0.0,4,4,171162,180716,129092,219416,192895,163412,244022,138835,143031,190974,127449,207068,219601,117994,182523,158713
13,-0.0020264429727191798,0.0,4,4,171162,180716,128250,217802,192895,163412,244864,140449,143031,190974,127449,207068,219601,117994,182523,158713
14,-0.0020264429727191798,0.0,4,4,171162,180716,128250,217802,192895,163412,244864,140449,143031,190974,127449,207068,189633,161305,212491,115402
15,-0.0020264429727191798,0.0,4,4,171162,180716,128250,217802,192895,163412,244864,140449,143031,190974,127449,207068,217503,117300,184621,159407
16,-0.0020264429727191798,0.0,4,4,130064,228311,169348,170207,192895,163412,244864,140449,143031,190974,127449,207068,217503,117300,184621,159407
17,0.12237759979446719,0.125,5,3,130064,228311,180768,165934,192895,163412,244864,140449,143031,190974,116029,211341,217503,117300,184621,159407
18,0.12237759979446719,0.125,5,3,130064,228311,180768,165934,192895,163412,245720,142654,143031,190974,116029,211341,216647,115095,184621,159407
19,0.11813776798116045,0.125,5,3,130064,228311,119443,219743,192895,163412,245720,142654,143031,190974,177354,157532,216647,115095,184621,159407
20,0.12084830365463024,0.125,5,3,130064,228311,173416,169024,192895,163412,245720,142654,143031,190974,123381,208251,216647,115095,184621,159407
21,-0.0119317033997954,0.0,4,4,130064,228311,173416,169024,174274,195771,264341,110295,143031,190974,123381,208251,216647,115095,184621,159407
22,-0.013284100666582224,0.0,4,4,130064,228311,120395,215006,174274,195771,264341,110295,143031,190974,176402,162269,216647,115095,184621,159407
23,-0.014987783930764723,0.0,4,4,130064,228311,120395,215006,253199,116689,185416,189377,143031,190974,176402,162269,216647,115095,184621,159407
24,-0.014987783930764723,0.0,4,4,130064,228311,120395,215006,184599,162938,185416,189377,143031,190974,176402,162269,216647,115095,253221,113158
25,-0.01601221858098398,0.0,4,4,130064,228311,120378,217878,184599,162938,185416,189377,143031,190974,176419,159397,216647,115095,253221,113158
26,-0.01601221858098398,0.0,4,4,130064,228311,120378,217878,184599,162938,184873,190660,143574,189691,176419,159397,216647,115095,253221,113158
27,-0.01601221858098398,0.0,4,4,130064,228311,117943,210958,184599,162938,184873,190660,146009,196611,176419,159397,216647,115095,253221,113158
28,-0.01757165570527571,0.0,4,4,130064,228311,117943,210958,184599,162938,170973,208906,146009,196611,176419,159397,216647,115095,267121,94912
29,-0.01757165570527571,0.0,4,4,129671,223820,118336,215449,184599,162938,170973,208906,146009,196611,176419,159397,216647,115095,267121,94912
